pdf,mm_yyyy,company,amount,currency,adjudicadora,tipo,tramitacion,procedimiento,model,time
BOE-B-2017-5482.pdf,01-2017,None,1576500.0,euros,Universitat Jaume I,Servicio,Ordinaria,Abierto,llama3,340.09
BOE-B-2017-491.pdf,01-2017,UTE CSS Carreteras Bizkaia (Boslan Ingeniería y Consultoría S.A.-Paymacotas Euskadi S.L.),531674.0,euros,Diputación Foral de Bizkaia,Contrato de Servicios,Ordinaria,Abierto,llama3,350.75
BOE-B-2017-5739.pdf,01-2017,Gas Natural Comercializadora S.A.,801800.42,euros,Complejo Asistencial Universitario de Palencia,Suministros,Anticipada,Derivado de Acuerdo Marco,llama3,320.68
BOE-B-2017-2714.pdf,01-2017,Atos Spain S.A.,894000.0,euros,Centro Informático para a Xestión Tributaria Económico- Financeira e Contable,Contrato de Servicios,None,None,llama3,239.07
BOE-B-2017-5466.pdf,01-2017,Urbaser S.A.,None,None,Comarca de Tarazona y el Moncayo,Servicios,Ordinaria,Abierto,llama3,330.29
BOE-B-2017-5044.pdf,01-2017,Faycanes Tenerife S.L.,None,None,Autoridad Portuaria de Santa Cruz de Tenerife,Servicios,Ordinaria,Abierto,llama3,362.47
BOE-B-2017-2289.pdf,01-2017,Indra Sistemas S.A.,243936.0,euros,Organismo: Axencia para a Modernización Tecnolóxica de Galicia,Servicio,Ordinaria,Abierto,llama3,412.55
BOE-B-2017-3907.pdf,01-2017,None,None,None,Instituto Municipal de Informática de Barcelona,Servicios,Ordinaria,Negociado sin publicidad,llama3,449.61
BOE-B-2017-3514.pdf,01-2017,Alavés Montajes y Realización S.L.,1016400.0,EUR,Agència Valenciana del Turisme,Contrato Mixto,Urgente,Negociado sin publicidad,phi3,268.55
BOE-B-2017-240.pdf,01-2017,International Business Machines S.A.,3892166.68,euros,Diputación Foral de Álava,Suministro,Anticipada,Negociado sin publicidad,phi3,232.05
BOE-B-2017-2859.pdf,01-2017,Integra Mantenimiento Gestión y Servicios Integrados Centro Especial de Empleo S.L.,440618.45,euros,Ayuntamiento de Madrid,Servicios,Ordinaria,Abierto,phi3,349.05
BOE-B-2017-470.pdf,01-2017,Informática El Corte Inglés S.A,1111150.0,euros,Consejería de Educación y Universidades del Gobierno de Canarias,Suministro,Ordinaria,Abierto,phi3,733.40
BOE-B-2017-4174.pdf,01-2017,Econocom Osiatis S.A.,360000.0,euros,Ayuntamiento de Vitoria-Gasteiz,Servicio,Normal,Abierto,phi3,219.83
BOE-B-2017-2824.pdf,01-2017,Medtronic Ibérica S.A.,367540.93,euros,Corporació Sanàtiria Parc Taulí,Suministro,Anticipada,Negociado (armonizado) sin publicidad,phi3,238.10
BOE-B-2017-3892.pdf,01-2017,Instrumentación y Componentes S.A.,86121.75,euros,Ayuntamiento de Reus,Servicio,Ordinaria,Abierto sujeto a regulación armonizada,phi3,273.69
BOE-B-2017-4398.pdf,01-2017,Itma slu,231110.0,euros,Instituto Social de la Marina,Servicios,Ordinaria,Abierto,phi3,229.63
BOE-B-2017-5460.pdf,01-2017,Asisa Asistencia Sanitaria Interprovincial de Seguros S.A.U.,580000.0,euros,Ayuntamiento de Mijas,Contrato de obras,Ordinaria,Abierto,phi3,246.14
BOE-B-2017-3475.pdf,01-2017,SOLDENE S.A.BOLETÍN OFICIAL DEL ESTADO,115434.0,euros,Presidencia de la Confederación Hidrográfica del Ebro,Servicios,Ordinaria,Abierto,phi3,366.74
BOE-B-2017-5435.pdf,01-2017,Redyser Transportes S.L,287070.08,euros,Conselleria de Sanidad Universal y Salud Pública,Servicio,Ordinaria,Abierto,phi3,245.70
BOE-B-2017-5745.pdf,01-2017,Mapfre España Compañía de Seguros y Reaseguros SA,185000.0,euros,Ayuntamiento de Ferrol,Contrato privado de servicios,Ordinaria,Abierto con pluralidad de criterios de valoración y sujeto a regulación armonizada,phi3,237.27
BOE-B-2017-2564.pdf,01-2017,Valoriza Facilities S.A.U.,139997.0,euros,Agencia Estatal Consejo Superior de Investigaciones Científicas,Servicio,Ordinaria,Abierto,phi3,206.04
BOE-B-2017-4410.pdf,01-2017,Normedan S.L.,388000.0,euros,Osakidetza-Servicio Vasco de Salud,Suministro,Ordinaria,Abierto,phi3,242.66
BOE-B-2017-3566.pdf,01-2017,Arioliva S.L.,478259.19,euros,Junta de Gobierno Local. Ayuntamiento de Pozuelo de Alarcón,Obras,Ordinaria,Abierto,phi3,239.22
BOE-B-2017-1328.pdf,01-2017,Base 10 Informática S.L.,436568.0,euros,Excmo. Ayuntamiento de Castellón de la Plana,Mixto,Urgente,Abierto,phi3,238.42
BOE-B-2017-4278.pdf,01-2017,Ferroser Servicios Auxiliares,11566382.26,euros,Osakidetza-SVS,Servicios,Ordinaria,Abierto,phi3,212.72
BOE-B-2017-1058.pdf,01-2017,LIFE CARE S.L,5034358.11,euros,Servicio Aragonés de Salud,Suministro,Ordinaria,Abierto con varios criterios de adjudicación,phi3,368.62
BOE-B-2017-4312.pdf,01-2017,Proforma Ejecución de Obras y Restauraciones S.L.,117355.37,euros,Ayuntamiento de Pinto (Madrid),Obras,Ordinaria,Abierto,phi3,225.95
BOE-B-2017-4505.pdf,01-2017,Masfalt S.A.,5301289.05,euros,Consejería de Fomento y Vivienda,Obras,None,None,phi3,183.38
BOE-B-2017-5482.pdf,01-2017,UTE Mantenimiento y Conservación UJI,1576500.0,euros,Universitat Jaume I,Servicio,Ordinaria,Abierto,phi3,202.89
BOE-B-2017-491.pdf,01-2017,UTE CSS Carreteras Bizkaia (Boslan Ingeniería y Consultoría S.A.-Paymacotas Euskadi S.L.),531674.0,euros,Diputación Foral de Bizkaia,Servicios,Ordinaria,Abierto,phi3,227.59
BOE-B-2017-5739.pdf,01-2017,Gas Natural Comercializadora S.A.,801800.42,euros,Complejo Asistencial Universitario de Palencia,Suministro,Anticipada,Derivado de Acuerdo Marco,phi3,238.33
BOE-B-2017-2714.pdf,01-2017,Atos Spain S.A.,894000.0,euros,Centro Informático para a Xestión Tributaria Económico- Financeira e Contable,Servicios,None,None,phi3,178.37
BOE-B-2017-5466.pdf,01-2017,Urbaser S.A.,282223.4,euros,Comarca de Tarazona y el Moncayo,Servicios,Ordinaria,Abierto,phi3,229.71
BOE-B-2017-5044.pdf,01-2017,Faycanes Tenerife S.L.,107000.0,euros,Autoridad Portuaria de Santa Cruz de Tenerife,Servicios,Ordinaria,Abierto,phi3,233.33
BOE-B-2017-2289.pdf,01-2017,Indra Sistemas S.A.,243936.0,euros,Axencia para a Modernización Tecnolóxica de Galicia,Servicio,Ordinaria,Abierto,phi3,230.55
BOE-B-2017-3907.pdf,01-2017,Intergraph España S.A,2488640.88,euros,Instituto Municipal de Informática de Barcelona,Servicios,Ordinaria,Sin publicidad,phi3,257.75
BOE-B-2017-11127.pdf,02-2017,Seringe S.A.,293991.38,euros,Ayuntamiento de Móstoles,Mixto,Ordinaria,Abierto,llama3,403.99
BOE-B-2017-9349.pdf,02-2017,OHL Servicios-Ingesan S.A.,1354235.25,euros,Consejería de Sanidad,Contrato de servicios,Ordinaria,Abierto,llama3,395.98
BOE-B-2017-7807.pdf,02-2017,Taxon Estudios Ambientales S.L.,786545.01,euros,Consejería de Agua Agricultura y Medio Ambiente,Ordinaria,Ordinaria,Abierto,llama3,304.62
BOE-B-2017-10376.pdf,02-2017,Wiley Subscription Services Inc.,1426776.18,euros,Consorci de Serveis Universitaris de Catalunya (CSUC),Contrato de suministro,Ordinaria,Negociado con publicidad,llama3,363.06
BOE-B-2017-8514.pdf,02-2017,Informática El Corte Inglés S.A.,134005.08,euros,None,Servicios,Ordinaria,Abierto,llama3,362.97
BOE-B-2017-6775.pdf,02-2017,Abbvie Spain S.L.,6405668.0,euros,Servicio Andaluz de Salud. Complejo Hospitalario Torrecárdenas,Contrato de suministro,Ordinaria,Negociado sin publicidad sujeto a Regulación Armonizada,llama3,338.03
BOE-B-2017-12156.pdf,02-2017,Seguridad Integral Canaria S.A.,663816.0,€,Servicio Canario de La Salud,Servicios,None,None,llama3,254.20
BOE-B-2017-8898.pdf,02-2017,None,5696985.82,euros,Ayuntamiento de Barcelona – Área de Drets Socials,Servicios,None,None,llama3,285.08
BOE-B-2017-9344.pdf,02-2017,None,1102070.22,euros,Servicio de Salud de las Illes Balears,Servicios,Ordinaria,Abierto,llama3,348.43
BOE-B-2017-11042.pdf,02-2017,Acerouno Consultoría y Construcción S.L.,199470.13,euros,Consorcio de la Ciudad de Toledo,Contrato de obras,Ordinaria,Abierto,llama3,378.44
BOE-B-2017-8881.pdf,02-2017,None,274340.0,euros,Ayuntamiento de Avilés,Servicios,Ordinaria,Abierto,llama3,412.94
BOE-B-2017-6012.pdf,02-2017,Contratista,None,None,Ayuntamiento de Leganés,Servicio,Ordinaria,Abierto,llama3,314.07
BOE-B-2017-12171.pdf,02-2017,Giropci S.L. lote 1. Sistemas Digitales Corporate S.L. lote,262200.0,euros,Ajuntament de Girona,Suministro,Ordinaria,Abierto,llama3,327.10
BOE-B-2017-8851.pdf,02-2017,Factor Humano Formación S.L.,760800.0,EUR,Consejería de Economía Empleo e Industria,Servicios,Ordinaria,Abierto y sujeto a regulación armonizada,llama3,434.44
BOE-B-2017-7452.pdf,02-2017,None,1225057.79,euros,Complejo Asistencial Universitario de León,Contrato de suministro,Ordinaria,Abierto,llama3,333.32
BOE-B-2017-9496.pdf,02-2017,Lote 1: Artículos Papelería Sena S.L.; Castevila Distribuciones S.L.; El Corte Inglés S.A.; Proxim de Oficinas S.L.; Canon España S.A. Lote 2: ...,4000000.0,euros,Conselleria de Hacienda y Modelo Económico,Suministro,Ordinaria,Abierto,llama3,392.75
BOE-B-2017-10745.pdf,02-2017,None,195261.9,euros,Servicio Madrileño de Salud,Suministros,Ordinaria,Abierto,llama3,338.55
BOE-B-2017-8472.pdf,02-2017,Alerta y Control S.A.,232779.38,euros,Ayuntamiento de Madrid. Área de Gobierno de Salud Seguridad y Emergencias,Servicios,Ordinaria,Abierto,llama3,321.35
BOE-B-2017-5883.pdf,02-2017,Ute Telefónica de España S.A.U.-Telefónica Móviles España S.A.U.,120000.0,€,Ayuntamiento de Boadilla del Monte,Servicios,Ordinaria,Abierto,llama3,447.51
BOE-B-2017-7739.pdf,02-2017,None,5041009.25,euros,Universidad Autónoma de Madrid,Contrato de Servicios,Ordinaria,Abierto,llama3,336.99
BOE-B-2017-5863.pdf,02-2017,Gilead Sciences S.L.U.,1101360.0,euros,Servicio Madrileño de Salud - Hospital Universitario de Getafe,Suministros,Ordinaria,Negociado sin publicidad,llama3,324.74
BOE-B-2017-9350.pdf,02-2017,Custar S.L.,256000.0,euros,Diputación Foral de Álava,Servicios,Ordinaria,Abierto,llama3,311.24
BOE-B-2017-7172.pdf,02-2017,Axa Seguros Generales Sociedad Anónima de Seguros y Reaseguros; Allianz Compañía de Seguros y Reaseguros Sociedad Anónima; Bilbao Compañía Anónima Seguros y Reaseguros y Fiatc Mutua de Seguros y Reaseguros.,420189.0,euros,Diputación de Barcelona/Oficina de Patrimonio y Gestión Inmobiliaria,Privado,Ordinaria,Abierto con pluralidad de criterios,llama3,422.16
BOE-B-2017-9234.pdf,02-2017,Copisa Constructora Pirenaica S.A.,120050380.0,euros,Organismo: Ayuntamiento de Madrid. Área de Gobierno de Medio Ambiente y Movilidad.,Obras,Ordinaria,Abierto,llama3,372.74
BOE-B-2017-8844.pdf,02-2017,Eulen Seguridad S.A.,192842.88,euros,Centro de Investigaciones Energéticas Medioambientales y Tecnológicas,Servicios,Ordinaria,Negociado sin publicidad,llama3,362.82
BOE-B-2017-11375.pdf,02-2017,None,2311422.74,euros,Servicio Cántabro de Salud,Contrato de suministro,Ordinaria,Abierto,llama3,336.28
BOE-B-2017-8497.pdf,02-2017,None,None,None,Consell Comarcal de la Selva,Contrato de Servicios,Ordinaria,Abierto,llama3,340.73
BOE-B-2017-10740.pdf,02-2017,Inforges S.L.,133100.0,euros,Servicio Murciano de Salud,Servicio,Normal,Abierto,llama3,357.22
BOE-B-2017-11370.pdf,02-2017,Tecnologías Plexus S.L.,354176.68,euros,Servizo Galego de Saúde. Xerencia de Xestión Integrada de Vigo,Servicio,Ordinaria,Abierto,llama3,347.65
BOE-B-2017-11127.pdf,02-2017,Seringe S.A.,293991.38,euros,Ayuntamiento de Móstoles,Mixto,Ordinaria,Abierto S.A.R.A.,phi3,248.20
BOE-B-2017-9349.pdf,02-2017,OHL Servicios-Ingesan S.A.,1354235.25,euros,Consejería de Sanidad,Servicios,None,None,phi3,895.80
BOE-B-2017-7807.pdf,02-2017,Taxon Estudios Ambientales S.L.,786545.01,euros,Consejería de Agua Agricultura y Medio Ambiente,Ordinaria,Ordinaria,Abierto con varios criterios de adjudicación,phi3,238.16
BOE-B-2017-10376.pdf,02-2017,Wiley Subscription Services Inc.,1426776.18,euros,Consorci de Serveis Universitaris de Catalunya (CSUC),Suministro,Ordinaria,Negociado art. 170,phi3,219.30
BOE-B-2017-8514.pdf,02-2017,Informática El Corte Inglés S.A.,134005.08,euros,Universidad de Barcelona,Servicios,Ordinaria,Abierto,phi3,196.90
BOE-B-2017-6775.pdf,02-2017,Abbvie Spain S.L,6405666.8,euros,Servicio Andaluz de Salud,Suministro,Ordinaria,Negociado sin publicidad,phi3,238.13
BOE-B-2017-12156.pdf,02-2017,Seguridad Integral Canaria S.A.,66381.6,euros,Servicio Canario de La Salud,Servicios,None,None,phi3,179.35
BOE-B-2017-8898.pdf,02-2017,Asociación de Servicio Integral Sectorial para Ancianos (Asispa),5696985.82,euros,Ayuntamiento de Barcelona – Área de Drets Socials,Servicios,None,None,phi3,209.46
BOE-B-2017-9344.pdf,02-2017,Indra Sistemas S.A.,1102070.22,euros,Service de Salud de les Illes Balears,Servicios,Ordinaria,Abierto,phi3,221.98
BOE-B-2017-11042.pdf,02-2017,Acerouno Consultoría y Construcción S.L.,199470.13,euros,Consorcio de la Ciudad de Toledo,Contrato de obras,Ordinaria,Abierto,phi3,225.55
BOE-B-2017-8881.pdf,02-2017,Servicios Auxiliares de Mantenimiento y Limpieza S.L.,274340.0,euros,Ayuntamiento de Avilés,Servicios,Ordinaria,Abierto,phi3,221.54
BOE-B-2017-6012.pdf,02-2017,LIFE CARE S.L,2296.0,euros,Ayuntamiento de Leganés,Servicio,Ordinaria,Abierto,phi3,256.19
BOE-B-2017-12171.pdf,02-2017,Girocopi S.L. lote 1. Sistemas Digitales Corporate S.L.,266200.0,euros,Ajuntament de Girona,Suministro,Ordinaria,Abierto con señalamiento de varios criterios de valoración de las ofertas,phi3,210.60
BOE-B-2017-8851.pdf,02-2017,Tech Train Solutions S.L.,760800.0,EUR,Consejería de Economia Empleo e Industria,Servicios,Ordinaria,Abierto y sujeto a regulación armonizada,phi3,308.93
BOE-B-2017-7452.pdf,02-2017,Werfen España S.A.U.,1225055.79,euros,Complejo Asistencial Universitario de León,Suministro,Ordinaria,Abierto,phi3,221.40
BOE-B-2017-9496.pdf,02-2017,LIFE CARE S.L,4000000.0,euros,Conselleria de Hacienda y Modelo Económico,Suministro,Ordinaria,Abierto,phi3,312.95
BOE-B-2017-10745.pdf,02-2017,Stryker Iberia Sociedad Limitada por importe de: 105.18750 euros (IVA incluido),195261.9,euros,Servicio Madrileño de Salud,Suministro,Ordinaria,Abierto - Pluralidad de criterios,phi3,238.33
BOE-B-2017-8472.pdf,02-2017,Alerta y Control S.A.,232779.38,euros,Ayuntamiento de Madrid,Servicios,Ordinaria,Abierto,phi3,207.87
BOE-B-2017-5883.pdf,02-2017,Ute Telefónica de España S.A.U.-Telefónica Móviles EspañaS.A.U.,120000.0,€,Ayuntamiento de Boadilla del Monte,Servicios,Ordinaria,Abierto,phi3,243.80
BOE-B-2017-7739.pdf,02-2017,Valoriza Facilities S.A.,5041009.25,euros,Universidad Autónoma de Madrid,Servicios,Ordinaria,Abierto,phi3,219.80
BOE-B-2017-5863.pdf,02-2017,Gilead Sciences S.L.,1101360.0,euros,Servicio Madrileño de Salud - Hospital Universitario de Getafe,Suministro,Ordinaria,Negociado sin publicidad,phi3,234.91
BOE-B-2017-9350.pdf,02-2017,Custar S.L.,256000.0,euros,Diputación Foral de Álava,Servicios,Ordinaria,Abierto,phi3,223.58
BOE-B-2017-7172.pdf,02-2017,Axa Seguros Generales Sociedad Anónima de Seguros y Reaseguros; Allianz Compañía de Seguros y Reaseguros Sociedad Anónima; Bilbao Compañía Anónima Seguros y Reaseguros y Fiatc Mutua de Seguros y Reaseguros,420189.0,euros,Diputación de Barcelona/Oficina de Patrimonio y Gestión,Contrato de suministro,Ordinaria,Abierto con pluralidad de criterios,phi3,293.98
BOE-B-2017-9234.pdf,02-2017,Copisa Constructora Pirenaica S.A,1200503.8,euros,Ayuntamiento de Madrid,Obras,Ordinaria,Abierto,phi3,240.71
BOE-B-2017-8844.pdf,02-2017,Eulen Seguridad S.A.,192842.88,euros,Centro de Investigaciones Energéticas Medioambientales y Tecnológicas,Servicios,Ordinaria,Negociado sin publicidad,phi3,221.30
BOE-B-2017-11375.pdf,02-2017,Cardiva 2 S.L,2311422.74,euros,Servicio Cántabro de Salud,Suministros,Ordinaria,Abierto,phi3,211.33
BOE-B-2017-8497.pdf,02-2017,Transports Elèctric Interurbans S.A.,543180.0,euros,Consell Comarcal de la Selva,Servicio,Ordinaria,Abierto,phi3,206.88
BOE-B-2017-10740.pdf,02-2017,Inforges S.L.,133100.0,euros,None,Servicio,Normal,Abierto,phi3,462.23
BOE-B-2017-11370.pdf,02-2017,Tecnologías Plexus S.L.,354176.68,euros,Servizo Galego de Saúde. Xerencia de Xestión Integrada de Vigo,Servicio,Ordinaria,Abierto,phi3,242.36
BOE-B-2017-18169.pdf,03-2017,Hewlett Packard Servicios España S.L.,389620.0,euros,Gerencia Regional de Salud de Castilla y León,Servicios,Ordinaria,Negociado sin publicidad,llama3,340.47
BOE-B-2017-13903.pdf,03-2017,None,15230695.68,euros,Entidad Pública Empresarial Red.es,Contrato de suministro,Ordinaria,Abierto,llama3,434.58
BOE-B-2017-16687.pdf,03-2017,Gas Natural Servicios SDG S.A.,18604492.85,euros,Diputación Foral de Gipuzkoa,Suministro,None,None,llama3,234.04
BOE-B-2017-19637.pdf,03-2017,Brillosa S.L.,298172.4,euros,Servicio de Salud de las Illes Balears,Contrato de Servicios,Ordinaria,Abierto,llama3,326.57
BOE-B-2017-18036.pdf,03-2017,Exercycle S.L.,241322.4,euros,Ayuntamiento de madrid,Suministro,Ordinaria,Abierto,llama3,333.11
BOE-B-2017-14219.pdf,03-2017,None,385738.5,euros,Servicio Madrileño de Salud. Hospital Universitario Príncipe de Asturias,Suministros,Ordinaria,Negociado sin publicidad,llama3,357.28
BOE-B-2017-13872.pdf,03-2017,None,130140.0,euros,Mancomunitat de L'Horta Nord,Patrimonial,Ordinaria,Abierto,llama3,300.39
BOE-B-2017-18176.pdf,03-2017,Watium S.L.,2233618.76,euros,Ayuntamiento de Boadilla del Monte,Suministros,Ordinaria,Abierto,llama3,330.47
BOE-B-2017-19781.pdf,03-2017,Baxalta Spain S.L.,None,None,Gerencia del Área Sanitaria IV - Oviedo. Hospital Universitario Central de Asturias,Contrato de suministro,Ordinaria,Negociado sin publicidad,llama3,402.38
BOE-B-2017-13081.pdf,03-2017,Actúa Servicios y Medio Ambiente S.L.,578916.0,euros,Consorcio de Extinción de Incendios y Salvamento de la Comunidad Autónoma de la Región de Murcia,Contrato de Servicios,Ordinaria,Abierto,llama3,462.93
BOE-B-2017-14543.pdf,03-2017,Tecnologías Plexus S.L.,278093.08,euros,Ayuntamiento de San Cristóbal de La Laguna,None,Ordinaria,Abierto,llama3,355.34
BOE-B-2017-13185.pdf,03-2017,Automoción Canarias S.A.,560000.0,euros,Ayuntamiento de Arona,Suministros,Ordinaria,Abierto,llama3,371.89
BOE-B-2017-14759.pdf,03-2017,Golden Laundry S.L.,307340.0,euros,Gerencia de Atención Primaria de Burgos,Contrato de Servicios,Ordinaria,Abierto,llama3,356.75
BOE-B-2017-19949.pdf,03-2017,None,340500.0,euros,Fundación Uliazpi,Servicios,None,None,llama3,245.97
BOE-B-2017-15525.pdf,03-2017,Ramis de Benítez Suministros Médicos S.L.; Dispomedis S.L.; Active Medical Disposable S.A.U.; Celulosas Vascas S.L.; Laboratorios Indas S.A.U.,682415.27,euros,Servicio Andaluz de Salud. Complejo Hospitalario Universitario de Granada,Contrato de suministro,Ordinaria,Abierto,llama3,348.99
BOE-B-2017-19937.pdf,03-2017,Contratista,597086.36,euros,Diputación de Granada,Suministros,Ordinaria,Abierto,llama3,302.12
BOE-B-2017-15552.pdf,03-2017,Prosegur Servicios Integrales de Seguridad España SL,4420187.48,euros,Diputación de Valencia,Servicios,Ordinaria,Abierto,llama3,349.75
BOE-B-2017-14572.pdf,03-2017,Rodi Metro S.L.,184120.0,€,Solucions Integrals per als Residus S.A.U.,Servicios,Ordinaria,Abierto,llama3,342.22
BOE-B-2017-19912.pdf,03-2017,Gilead Sciences S.L.,6118528.0,euros,Servicio Andaluz de Salud. Hospital Universitario Reina Sofía,Suministros,Ordinaria,Negociado sin publicidad sujeto a Regulación Armonizada,llama3,322.52
BOE-B-2017-15520.pdf,03-2017,Vistalegre Suministro Integral a Oficinas S.L.,144919.89,euros,Dirección Provincial del Servicio Andaluz de Empleo de Sevilla,Suministro,Ordinaria,Abierto,llama3,396.93
BOE-B-2017-14500.pdf,03-2017,Movelco Mobility S. L.,146573.35,euros,Autoridad Portuaria de Pasaia,Contrato de suministro,Ordinaria,Abierto,llama3,373.36
BOE-B-2017-15523.pdf,03-2017,Sistemas Integrales de Medicina S.A.,1982265.12,euros,Servicio Andaluz de Salud. Hospital Universitario Regional de Málaga,Servicios,Ordinaria,Abierto,llama3,340.01
BOE-B-2017-15894.pdf,03-2017,Alexion Pharma Spain S.L.,1555008.0,euros,Servicio Andaluz de Salud. Área Hospitalaria Virgen del Rocio,Suministros,Ordinaria,Negociado sin publicidad,llama3,360.79
BOE-B-2017-18188.pdf,03-2017,Ferrovial Servicios S.A.,941380.0,euros,Consorcio Valencia,Servicios,None,None,llama3,264.99
BOE-B-2017-18169.pdf,03-2017,Hewlett Packard Servicios España S.L.,389620.0,euros,Gerencia Regional de Salud de Castilla y León,Servicios,Ordinaria,Negociado sin publicidad,phi3,224.81
BOE-B-2017-13903.pdf,03-2017,Telefónica de España S.A.U.,15230695.68,euros,Red.es,Suministro,Ordinaria,Abierto,phi3,264.37
BOE-B-2017-16687.pdf,03-2017,Gas Natural Servicios SDG S.A.,18604492.85,euros,Diputación Foral de Gipuzkoa,Suministro,None,None,phi3,179.57
BOE-B-2017-19637.pdf,03-2017,Brillosa S.L.,298172.4,euros,Servicio de Salud de las Illes Balears,Servicios,Ordinaria,Abierto,phi3,218.10
BOE-B-2017-18036.pdf,03-2017,Exercycle S.L,241322.4,euros,Ayuntamiento de Madrid,Suministro,Ordinaria,Abierto,phi3,214.19
BOE-B-2017-14219.pdf,03-2017,Amgen S.A.,385738.5,euros,Servicio Madrileño de Salud,Suministros,Ordinaria,Negociado sin publicidad,phi3,236.65
BOE-B-2017-13872.pdf,03-2017,Hijos de Ramón Torres S.A.,130140.0,euros,Mancomunitat de L'Horta Nord,Patrimonial,Ordinaria,Abierto,phi3,232.67
BOE-B-2017-18176.pdf,03-2017,Watium S.L,2233618.76,euros,Ayuntamiento de Boadilla del Monte,Suministro,Ordinaria,Abierto,phi3,237.26
BOE-B-2017-19781.pdf,03-2017,Baxalta Spain S.L.,283667.9,euros,Gerencia del Área Sanitaria IV - Oviedo. Hospital Universitario Central de Asturias,Suministro,Ordinaria,Negociado sin publicidad,phi3,227.62
BOE-B-2017-13081.pdf,03-2017,Actua Servicios y Medio Ambiente S.L.,578916.0,Euros,Consorcio de Extinción de Incendios y Salvamento de la Comunidad Autónoma de la Región de Murcia,Servicios,Ordinaria,Abierto,phi3,224.76
